สวัสดีครับ,ทักทาย
สวัสดีค่ะ,ทักทาย
หวัดดี,ทักทาย
กินอะไรได้บ้าง,อาหาร
กินอะไรดี,อาหาร
“ผู้ป่วยมะเร็ง” รับประทานอะไรได้บ้าง,อาหาร
พ่อเป็นมะเร็งปอดระยะสุดท้ายเป็นได้เข้าเดือนที่ 7 แล้วค่ะตอนนี้ทานยาพุ่งเป้าสำหรับรักษามะเร็งไม่ได้ทำคีโม น้ำหนักลดจาก 71 กก.เหลือ 61 กก.ทานอาหารได้น้อย ตอนนี้เลยชงเอนชัวว์ให้ก็ทานได้ค่ะ แต่อยากให้แกทานข้าวด้วย ใครพอมีเมนูสำหรับคนไข้มะเร็งบ้างคะ ต้องการมาก,อาหาร
เมื่อประมาณเดือนที่แล้วคุณแม่ได้ตรวจพบมะเร็งปอดระยะสุดท้ายตอนนี้คุณแม่อยู่บ้าน หมอให้ทานมอร์ฟีนชนิดน้ำกับชนิดเม็ด10mg บรรเทาอาการปวด คุณแม่มีอาการท้องผูกและปวดตรงแขนขวา บริเวณหลังและไหล่ซ้าย หนูอยากทราบว่าคุณแม่ควรทานอาหารแบบไหนดีคะ ตอนนี้คือทำอาหารไม่ใส่น้ำปลา พวกผงชูรส ไม่ทานไก่ ไข่ น้ำมัน,อาหาร
อยากได้เมนูอาหารคนเป็นมะเร็งปอด พอมีไครแนะนำไหมค่ะ ตอนนี้แฟนเป็นมะเร็งปอดระยะที่4 ทำอาหารซ้ำจำเจบ่อยมาก อยากได้เมนูใหม่ๆ ที่คนมะเร็งปอดทานได้อร่อยด้วย ขอบคุณมากค่ะ,อาหาร
พ่อเป็นมะเร็งปอดในระยะที่ 4 ควรทานอาหารอะไร งดทานอะไร,อาหาร
หวัดดีจ้ะ,ทักทาย
สวัสดีน้า,ทักทาย
สวีดัส,ทักทาย
สวัสดีจ้ะ,ทักทาย
หวัดดีจ้า,ทักทาย
ขอทักทาย,ทักทาย
หวัดดี,ทักทาย
เป็นมะเร็งปอด ลามไปครึ่งปอด จะมีโอกาสรักษาหายไหม,ถามโอกาสหาย
ผู้ป่วยมะเร็งปอดมีอาการน้ำท่วมปอด คุณหมอนัดเจาะปอดเพื่อระบายน้ำออกอาทิตย์ละ 2 ครั้ง จะมีโอกาสหายไหม,ถามโอกาสหาย
อยากได้เมนูอาหารคนเป็นมะเร็งปอด พอมีไครแนะนำไหมค่ะ ตอนนี้แฟนเป็นมะเร็งปอดระยะที่4 ทำอาหารซ้ำจำเจบ่อยมาก อยากได้เมนูใหม่ๆ ที่คนมะเร็งปอดทานได้อร่อยด้วย ขอบคุณมากค่ะ,ถามโอกาสหาย
มะเร็งเต้านม ลามไปตับ และปอด ยังมีทางรอดมั้ย แล้วมีทางรักษายังไงบ้าง ?,ถามโอกาสหาย
ตอนนี้แฟนเราป่วยเป็นมะเร็งปอด ไม่แน่ใจว่าระยะสุดท้ายไหม หมอให้กินมอฟิน มีอาการเพ้อตอนกลางคืน กินอาหารได้น้อยลง เราควรทำยังไงดี เครียดมาก เรากลัวเค้าจะจากเราไป เรารักเค้ามาก อยากให้เค้าหาย,ถามโอกาสหาย
เราอายุ 25 ปี ตรวจเจอมะเร็งเต้านมระยะที่ 3 เราจะมีโอกาสรักษาหายมั๊ย,ถามโอกาสหาย
คือว่า แม่เราอายุ41แม่เราเป็นมะเร็งเต้านม ก้อน4ซม.ลามไปที่ตับ2จุด แต่หมอไม่ได้บอกว่าเป็นระยะที่เท่าไหร่ แม่เรามีโอกาสหายมั้ยคะ,ถามโอกาสหาย
เป็นมะเร็งระยะ3 มะเร็งปอด (มีโอกาศหายใหม) ต้องดูแลยังไงบ้าง,ถามโอกาสหาย
มีคนในครอบครัวหรือคนรู้จักเป็นมะเร็งปอด ระยะที่3 แล้วรักษาหายบ้างมั๊ยคะ,ถามโอกาสหาย
มะเร็งปอดระยะ3+รักษาทันมั้ยคะ,ถามโอกาสหาย
คือว่า แม่เราอายุ41แม่เราเป็นมะเร็งเต้านม ก้อน4ซม.ลามไปที่ตับ2จุด แต่หมอไม่ได้บอกว่าเป็นระยะที่เท่าไหร่ แม่เรามีโอกาสหายมั้ยคะ,ถามโอกาสหาย
จะรอดไหม,ถามโอกาสหาย
มีโอกาศหายไหม,ถามโอกาสหาย
จะหายไหม,ถามโอกาสหาย
ขอโลเคชั่นหน่อย,ถามข้อมูลติดต่อโรงพยาบาล
ไปยังไง,ถามข้อมูลติดต่อโรงพยาบาล
เบอร์โทรโรงพยาบาล,ถามข้อมูลติดต่อโรงพยาบาล
เบอร์โรงพยาบาล,ถามข้อมูลติดต่อโรงพยาบาล
ขอที่อยู่หน่อย,ถามข้อมูลติดต่อโรงพยาบาล
โรงบาลอยู่ไหน,ถามข้อมูลติดต่อโรงพยาบาล
ขอที่อยูู่่,ถามข้อมูลติดต่อโรงพยาบาล
อยู่ตรงไหน,ถามข้อมูลติดต่อโรงพยาบาล
โรงพยาบาลอยู่ที่ไหน,ถามข้อมูลติดต่อโรงพยาบาล
โรงพยาบาลอยู่ตรงไหน,ถามข้อมูลติดต่อโรงพยาบาล
อยู่่แถวไหน,ถามข้อมูลติดต่อโรงพยาบาล
ขอเบอร์หน่อย,ถามข้อมูลติดต่อโรงพยาบาล
เป็นมะเร็งปอดระยะสุดท้าย ไอหนักมาก ยาแก้ไอชนิดน้ำ ชนิดเม็ด และยาอม จะสามารถช่วยทุเลาอาการไอได้ไหม,ถามอาการมะเร็งปอด
พ่อเป็นมะเร็งมาสามปีแล้ว ไปรักษาด้วยการพ่นยาตลอด ไอมาก พบน้ำท่วมปอด ควรเจาะปอดดีไหม,ถามอาการมะเร็งปอด
พ่อเป็นมะเร็งปอด รักษาด้วยการผ่าตัดและให้คีโมจนครบ ผ่านไปหนึ่งเดือน อาการไอยังไม่หาย เป็นเพราะอะไร,ถามอาการมะเร็งปอด
ใช้ 30 บาทได้ไหม,ถามเกี่ยวกับค่ารักษา
ใช้สิทธิ์การรักษาได้ไหม,ถามเกี่ยวกับค่ารักษา
ราคาเท่าไหร่,ถามเกี่ยวกับค่ารักษา
แพงไหม,ถามเกี่ยวกับค่ารักษา
ค่ารักษาเท่าไหร่,ถามเกี่ยวกับค่ารักษา
กี่บาท,ถามเกี่ยวกับค่ารักษา
จ่ายเท่าไหร่,ถามเกี่ยวกับค่ารักษา
ราคาเท่าไร,ถามเกี่ยวกับค่ารักษา
ค่ารักษาเท่าไร,ถามเกี่ยวกับค่ารักษา
ใช้สวัสดิการได้ไหม,ถามเกี่ยวกับค่ารักษา
สามสิบบาท,ถามเกี่ยวกับค่ารักษา
สามสิบบาทรักษาทุกโรค,ถามเกี่ยวกับค่ารักษา
30 บาท,ถามเกี่ยวกับค่ารักษา
วิธีรักษามะเร็ง,ถามเกี่ยวกับวิธีรักษา
มะเร็งรักษายังไง,ถามเกี่ยวกับวิธีรักษา
อยากรู้เกี่ยวกับวิธีรักษา,ถามเกี่ยวกับวิธีรักษา
มีวิธีรักษากี่วิธี,ถามเกี่ยวกับวิธีรักษา
มีวิธีรักษาอะไรบ้าง,ถามเกี่ยวกับวิธีรักษา
รักษายังไง,ถามเกี่ยวกับวิธีรักษา
รักษาอย่างไร,ถามเกี่ยวกับวิธีรักษา
มีวิธีดูแลอย่างไร,ดูแลตัวเองยังไง
ดูแลผู้ป่วยยังไง,ดูแลตัวเองยังไง
ออกกำลังกายได้ไหม,ดูแลตัวเองยังไง
ออกกำลังกายอะไรได้บ้าง,ดูแลตัวเองยังไง
พ่อเราอายุ40กว่าปี พ่อดูดบุหรี่จัดเเล้วเริ่มมีอาการไอมีเสมหะ เคยตรวจเจอถุงลมโป่งพองกลัวว่าพ่อจะเป็นมะเร็งปอด,ถามโอกาสเป็น
"ผมสูบบุหรี่มาประมาณ2ปีครับ ตกวันละ ไม่เกิน10มวน ตอนนี้เลิกมา 5 วันเเล้วครับเพราะรู้สึกว่าปอดมันไม่เหมือนเดิมละมันระคายเคืองเเล้วก็ รู้สึกเจ็บนิดๆเวลาหายใจเเต่ไม่ได้ถึงขนาดใช้ชีวิตลำบาก ไม่มีอาการไอ หรือไอเป็นเลือด อยากทราบว่ามันปกติรึเปล่าครับ หรือควรไปตรวจดีครับ คำนวณ pack year เเล้วไม่เกิน30
ตอนนี้ผมอายุ21 ครับ กังวลมาก หรือถ้าเป็นอาการปกติของคนสูบบุหรี่แล้วอาการแบบนี้จะหายเมื่อไหร่ครับ",ถามโอกาสเป็น
คีโม หรือยาพิษครับ ทำไมทำคนดีๆทรุดหนักเลย,ถามเกี่ยวกับวิธีรักษา-คีโม
"อยากสอบถามคีโมสมัยนี้ผลข้างเคียงรุนแรงไหมครับ ผมลองอ่านของกระทู้ท่านอื่นเมื่อ 8-9 ปีก่อนไม่รู้มันจะพัฒนาขึ้นมาสักแค่ไหน ขอความรู้ด้วยครับ",ถามเกี่ยวกับวิธีรักษา-คีโม
ใครที่หายจากมะเร็งใช้คีโมตัวไหนหรือครับ,ถามเกี่ยวกับวิธีรักษา-คีโม
ดื่มน้ำเยอะๆ ช่วยป้องกันหรือรักษามะเร็งได้อย่างไรครับ,อาหาร
มะเร็งระยะสุดท้ายกระจายทั่วร่างกายอยู่ได้อีปประมาณกี่เดือน,ถามโอกาสหาย
"ผมมีซีสที่คอ1ก้อนเมื่อตอนเด็กๆไปหาหมอหมอบอกว่าไม่ต้องผ่า ผ่ามา10กว่าปี ผมพบเจออีกก่อนที่บริเวณก้อนเก่าเป็ดเม็ดๆเล็กๆตรงกับเส้นเลือด ผมเป็นมะเร็งเปล่าครับ
",ถามโอกาสเป็นมะเร็ง
